Mouse,Date,Trial Type,Neuron1,Neuron2,Angular Difference,Inhibitory Population,Normalization Index (NI) Neuron1,Normalization Index (NI) Neuron2,OSI Neuron1,OSI Neuron2,Exc-Exc Noise Correlation,Exc-Red Noise Correlation,Red-Red Noise Correlation
30N,62924,Grating,3,2,45.0,SST,-0.036003188263396,0.4309085174608593,0.3457462077623844,0.1855950495430517,-0.0449480456091379,,
30N,62924,Grating,3,4,0.0,SST,-0.036003188263396,0.4406550218499901,0.3457462077623844,0.1896578437006615,,0.1615726430224145,
30N,62924,Grating,3,5,112.5,SST,-0.036003188263396,0.4059920426721453,0.3457462077623844,0.359637859394149,-0.0086651169022869,,
30N,62924,Grating,3,6,112.5,SST,-0.036003188263396,0.2483767703573141,0.3457462077623844,0.2556881230453111,0.0148081586161076,,
30N,62924,Grating,3,7,112.5,SST,-0.036003188263396,-0.2837675635681971,0.3457462077623844,0.2594447394160984,0.0179636862264207,,
30N,62924,Grating,3,8,112.5,SST,-0.036003188263396,0.444624935972062,0.3457462077623844,0.1797153259287722,-0.0218745348006935,,
30N,62924,Grating,3,9,22.5,SST,-0.036003188263396,0.4632259742351371,0.3457462077623844,0.2999796309564465,0.0459447208083542,,
30N,62924,Grating,3,10,112.5,SST,-0.036003188263396,0.3243308252905618,0.3457462077623844,0.2664003535309552,0.0053598933205797,,
30N,62924,Grating,3,11,112.5,SST,-0.036003188263396,0.139959729174956,0.3457462077623844,0.2360943618885202,-0.0478557077476448,,
30N,62924,Grating,3,12,45.0,SST,-0.036003188263396,0.6825990889659305,0.3457462077623844,0.5925869543837662,-0.0490161877154244,,
30N,62924,Grating,3,13,112.5,SST,-0.036003188263396,0.2839460100331841,0.3457462077623844,0.2149367929585471,,-0.0610437540010374,
30N,62924,Grating,3,14,112.5,SST,-0.036003188263396,0.4783517514001817,0.3457462077623844,0.1716294472012357,-0.0312538737003571,,
30N,62924,Grating,3,15,67.5,SST,-0.036003188263396,0.0119829758440399,0.3457462077623844,0.2129006371669866,0.0203930356117537,,
30N,62924,Grating,3,16,45.0,SST,-0.036003188263396,-0.0309092172009801,0.3457462077623844,0.2450767573698955,-0.0275460029741977,,
30N,62924,Grating,3,17,45.0,SST,-0.036003188263396,0.5583661163371278,0.3457462077623844,0.2932251982958356,-0.0448264140913535,,
30N,62924,Grating,3,18,67.5,SST,-0.036003188263396,0.4239245202589358,0.3457462077623844,0.2292250708961149,-0.037995051002789,,
30N,62924,Grating,3,19,45.0,SST,-0.036003188263396,0.1893725397113057,0.3457462077623844,0.12705089100795,-0.0485148771756818,,
30N,62924,Grating,3,20,45.0,SST,-0.036003188263396,0.3961817661219455,0.3457462077623844,0.2916108653204953,0.0038057510538791,,
30N,62924,Grating,3,21,45.0,SST,-0.036003188263396,0.3537033707402778,0.3457462077623844,0.2455825809341067,0.0279587970724755,,
30N,62924,Grating,3,22,112.5,SST,-0.036003188263396,0.4885236292178151,0.3457462077623844,0.3251575214770621,-0.0321778236228733,,
30N,62924,Grating,3,23,112.5,SST,-0.036003188263396,0.3462866879211442,0.3457462077623844,0.2867028457782862,-0.0073012882928472,,
30N,62924,Grating,4,0,90.0,SST,0.4406550218499901,0.5361993787558806,0.1896578437006615,0.1616080488150874,,-0.0314904054992266,
30N,62924,Grating,4,1,45.0,SST,0.4406550218499901,0.67721038325484,0.1896578437006615,0.5110519944316614,,-0.0739347837651651,
30N,62924,Grating,4,2,45.0,SST,0.4406550218499901,0.4309085174608593,0.1896578437006615,0.1855950495430517,,-0.0574231868970861,
30N,62924,Grating,4,3,0.0,SST,0.4406550218499901,-0.036003188263396,0.1896578437006615,0.3457462077623844,,0.1615726430224145,
30N,62924,Grating,4,5,112.5,SST,0.4406550218499901,0.4059920426721453,0.1896578437006615,0.359637859394149,,0.0195305914950085,
30N,62924,Grating,4,6,112.5,SST,0.4406550218499901,0.2483767703573141,0.1896578437006615,0.2556881230453111,,0.0101275670545628,
30N,62924,Grating,4,7,112.5,SST,0.4406550218499901,-0.2837675635681971,0.1896578437006615,0.2594447394160984,,-0.022800664861099,
30N,62924,Grating,4,8,112.5,SST,0.4406550218499901,0.444624935972062,0.1896578437006615,0.1797153259287722,,0.058928143936436,
30N,62924,Grating,4,9,22.5,SST,0.4406550218499901,0.4632259742351371,0.1896578437006615,0.2999796309564465,,0.0669103710817298,
30N,62924,Grating,4,10,112.5,SST,0.4406550218499901,0.3243308252905618,0.1896578437006615,0.2664003535309552,,0.0086306960313858,
30N,62924,Grating,4,11,112.5,SST,0.4406550218499901,0.139959729174956,0.1896578437006615,0.2360943618885202,,-0.0388512968045992,
30N,62924,Grating,4,12,45.0,SST,0.4406550218499901,0.6825990889659305,0.1896578437006615,0.5925869543837662,,-0.0504276347000987,
30N,62924,Grating,4,13,112.5,SST,0.4406550218499901,0.2839460100331841,0.1896578437006615,0.2149367929585471,,,-0.0583452730770371
30N,62924,Grating,4,14,112.5,SST,0.4406550218499901,0.4783517514001817,0.1896578437006615,0.1716294472012357,,-0.005513111335275,
30N,62924,Grating,4,15,67.5,SST,0.4406550218499901,0.0119829758440399,0.1896578437006615,0.2129006371669866,,0.0304416784050424,
30N,62924,Grating,4,16,45.0,SST,0.4406550218499901,-0.0309092172009801,0.1896578437006615,0.2450767573698955,,0.0030375167869791,
30N,62924,Grating,4,17,45.0,SST,0.4406550218499901,0.5583661163371278,0.1896578437006615,0.2932251982958356,,-0.0435320323866316,
30N,62924,Grating,4,18,67.5,SST,0.4406550218499901,0.4239245202589358,0.1896578437006615,0.2292250708961149,,-0.031576406835621,
30N,62924,Grating,4,19,45.0,SST,0.4406550218499901,0.1893725397113057,0.1896578437006615,0.12705089100795,,0.0116543248958246,
30N,62924,Grating,4,20,45.0,SST,0.4406550218499901,0.3961817661219455,0.1896578437006615,0.2916108653204953,,0.0713418051897345,
30N,62924,Grating,4,21,45.0,SST,0.4406550218499901,0.3537033707402778,0.1896578437006615,0.2455825809341067,,0.0242448888492541,
30N,62924,Grating,4,22,112.5,SST,0.4406550218499901,0.4885236292178151,0.1896578437006615,0.3251575214770621,,-0.0222208537715898,
30N,62924,Grating,4,23,112.5,SST,0.4406550218499901,0.3462866879211442,0.1896578437006615,0.2867028457782862,,-0.0217967343465321,
30N,62924,Grating,5,0,22.5,SST,0.4059920426721453,0.5361993787558806,0.359637859394149,0.1616080488150874,-0.0367805057821577,,
30N,62924,Grating,5,1,157.5,SST,0.4059920426721453,0.67721038325484,0.359637859394149,0.5110519944316614,0.0116588308843996,,
30N,62924,Grating,5,2,157.5,SST,0.4059920426721453,0.4309085174608593,0.359637859394149,0.1855950495430517,-0.0097558985568068,,
30N,62924,Grating,5,3,112.5,SST,0.4059920426721453,-0.036003188263396,0.359637859394149,0.3457462077623844,-0.0086651169022869,,
30N,62924,Grating,5,4,112.5,SST,0.4059920426721453,0.4406550218499901,0.359637859394149,0.1896578437006615,,0.0195305914950085,
