Mouse,Date,Neuron,Group,Fano Factor
18S,071924,59,Grating,2.3871810947627683
18S,071924,59,Plaid Pref/Null,1.2362483697519153
18S,071924,60,Preferred,1.5586742478926803
18S,071924,60,Null,0.7619519870104885
18S,071924,60,Plaid,1.0958205628823
18S,071924,60,Grating,0.6464414902793587
18S,071924,60,Plaid Pref/Null,1.0958205628823
18S,071924,61,Preferred,0.7569169768402824
18S,071924,61,Null,0.5517713368553825
18S,071924,61,Plaid,0.5502255232097482
18S,071924,61,Grating,0.6299571587935424
18S,071924,61,Plaid Pref/Null,0.5502255232097482
18S,071924,62,Preferred,0.346973326627492
18S,071924,62,Null,0.25604411101559016
18S,071924,62,Plaid,0.24202465327543965
18S,071924,62,Grating,0.28639897772300354
18S,071924,62,Plaid Pref/Null,0.24202465327543965
18S,071924,63,Preferred,2.5483672304862965
18S,071924,63,Null,1.2630652046994315
18S,071924,63,Plaid,2.3594001697334703
18S,071924,63,Grating,1.5684144061203127
18S,071924,63,Plaid Pref/Null,2.3594001697334703
18S,071924,64,Preferred,0.6486540757206706
18S,071924,64,Null,0.3285917045375074
18S,071924,64,Plaid,0.3009216753272692
18S,071924,64,Grating,0.3929768168276726
18S,071924,64,Plaid Pref/Null,0.3009216753272692
18S,071924,65,Preferred,1.1187152812665078
18S,071924,65,Null,0.5163329234355102
18S,071924,65,Plaid,0.5062218204554904
18S,071924,65,Grating,0.7240910485838007
18S,071924,65,Plaid Pref/Null,0.5062218204554904
18S,071924,66,Preferred,1.5781756387607857
18S,071924,66,Null,0.4822724313952193
18S,071924,66,Plaid,0.3969264216877368
18S,071924,66,Grating,1.1443481776499915
18S,071924,66,Plaid Pref/Null,0.3969264216877368
18S,071924,67,Preferred,2.0417781848788517
18S,071924,67,Null,0.5359975242340697
18S,071924,67,Plaid,1.4069330769544381
18S,071924,67,Grating,0.7359798887759837
18S,071924,67,Plaid Pref/Null,1.4069330769544381
18S,071924,68,Preferred,0.341927985286005
18S,071924,68,Null,0.2881664095755303
18S,071924,68,Plaid,0.287566916610138
18S,071924,68,Grating,0.30490906769160026
18S,071924,68,Plaid Pref/Null,0.287566916610138
18S,071924,69,Preferred,1.3547380099135682
18S,071924,69,Null,0.9485455952220114
18S,071924,69,Plaid,1.1735871550894648
18S,071924,69,Grating,0.8960719360218791
18S,071924,69,Plaid Pref/Null,1.1735871550894648
18S,071924,70,Preferred,0.9074284408172034
18S,071924,70,Null,0.44954349228966034
18S,071924,70,Plaid,0.4410308129455623
18S,071924,70,Grating,0.5379485757732017
18S,071924,70,Plaid Pref/Null,0.4410308129455623
18S,071924,71,Preferred,0.9413326809248799
18S,071924,71,Null,0.4258639704695003
18S,071924,71,Plaid,0.4554465249513863
18S,071924,71,Grating,0.5803982216241146
18S,071924,71,Plaid Pref/Null,0.4554465249513863
18S,071924,72,Preferred,0.9574870203060585
18S,071924,72,Null,0.30597997153081075
18S,071924,72,Plaid,0.43022427944088526
18S,071924,72,Grating,0.41469872260196455
18S,071924,72,Plaid Pref/Null,0.43022427944088526
18S,071924,73,Preferred,0.3607509376006338
18S,071924,73,Null,0.24983703311738328
18S,071924,73,Plaid,0.3915033518675224
18S,071924,73,Grating,0.17673916881179208
18S,071924,73,Plaid Pref/Null,0.3915033518675224
18S,071924,74,Preferred,1.4956849097954474
18S,071924,74,Null,0.7710166635622197
18S,071924,74,Plaid,1.0822865408471312
18S,071924,74,Grating,0.8164181280376172
18S,071924,74,Plaid Pref/Null,1.0822865408471312
18S,071924,75,Preferred,0.35119304284577957
18S,071924,75,Null,0.32844752140653544
18S,071924,75,Plaid,0.39006809853190055
18S,071924,75,Grating,0.29705788460510846
18S,071924,75,Plaid Pref/Null,0.39006809853190055
18S,072024,0,Preferred,2.5082042878501634
18S,072024,0,Null,5.938645921790604
18S,072024,0,Plaid,3.3053647719580175
18S,072024,0,Grating,5.837415322542603
18S,072024,0,Plaid Pref/Null,3.3053647719580175
18S,072024,1,Preferred,4.603217959283604
18S,072024,1,Null,5.148530337580379
18S,072024,1,Plaid,4.881019398525116
18S,072024,1,Grating,5.138465262457163
18S,072024,1,Plaid Pref/Null,4.881019398525116
18S,072024,2,Preferred,2.054146812086664
18S,072024,2,Null,3.350242076326238
18S,072024,2,Plaid,3.6339179351884927
18S,072024,2,Grating,3.0179061637253257
18S,072024,2,Plaid Pref/Null,3.6339179351884927
18S,072024,3,Preferred,3.5495569340933466
18S,072024,3,Null,3.348484172825472
18S,072024,3,Plaid,3.4338639404940063
18S,072024,3,Grating,5.088426440664128
18S,072024,3,Plaid Pref/Null,3.4338639404940063
18S,072024,4,Preferred,2.3607317454757375
18S,072024,4,Null,3.124821094921086
18S,072024,4,Plaid,2.3925367196217855
18S,072024,4,Grating,4.204278681851854
18S,072024,4,Plaid Pref/Null,2.3925367196217855
18S,072024,5,Preferred,3.1005765405301005
18S,072024,5,Null,2.782750745985674
18S,072024,5,Plaid,3.186505671869215
18S,072024,5,Grating,2.287700351737693
18S,072024,5,Plaid Pref/Null,3.186505671869215
18S,072024,6,Preferred,2.84381428551892
18S,072024,6,Null,1.2903869141158189
18S,072024,6,Plaid,2.126559772040911
18S,072024,6,Grating,1.4756723094574102
18S,072024,6,Plaid Pref/Null,2.126559772040911
